Strain : Tensile strain (Extension) gauge length,100,mm,,,,
,,,,,,
Time,Extension,Load,,,,
(s),(mm),(N),Low Start,Low End,High Start,High End
23.975,0.20838,0.1365,,,,
24.075,0.30133,0.3304,,,,
24.175,0.39398,0.81745,,,,
24.275,0.48697,1.96832,,,,
24.375,0.57949,4.27921,,,,
24.475,0.6723,8.14307,,,,
24.568,0.75845,13.14859,,,,
24.644,0.82879,18.15071,,,,
24.709,0.88944,23.1702,,,,
24.751,0.92824,26.68035,,,,
24.752,0.92916,26.76631,,,,
24.753,0.93008,26.85233,,,,
24.853,0.91072,22.95845,,,,
24.898,0.86477,17.87387,,,,
24.959,0.80693,12.80811,,,,
25.043,0.72873,7.77867,,,,
25.143,0.63544,3.8922,,,,
25.243,0.54305,1.726,,,,
25.343,0.44997,0.69093,,,,
25.443,0.35755,0.27084,,,,
25.543,0.26439,0.10411,,,,
25.643,0.17214,0.05606,,,,
25.743,0.07886,0.03193,,,,
25.829,-0.00041,0.02046,,,,
25.83,-0.00134,0.02013,,,,
25.831,-0.00226,0.0198,,,,
25.931,0.01566,0.04187,,,,
26.031,0.11469,0.06557,,,,
26.131,0.2081,0.14107,,,,
26.231,0.30104,0.31542,,,,
26.331,0.39369,0.78604,,,,
26.431,0.48666,1.90945,,,,
26.531,0.5792,4.19114,,,,
26.631,0.67201,8.01965,,,,
26.725,0.7591,13.05595,,,,
26.801,0.82941,18.05733,,,,
26.866,0.89007,23.06643,,,,
26.907,0.92793,26.48279,,,,
26.908,0.92885,26.56921,,,,
26.909,0.92977,26.65573,,,,
27.009,0.91041,22.79216,,,,
27.054,0.86452,17.73717,,,,
27.115,0.80667,12.68997,,,,
27.199,0.72847,7.68257,,,,
27.299,0.63518,3.83003,,,,
27.399,0.54278,1.69091,,,,
27.499,0.4497,0.67812,,,,
27.599,0.35729,0.2587,,,,
27.699,0.26413,0.10448,,,,
27.799,0.17188,0.05262,,,,
27.899,0.07857,0.02428,,,,
27.985,-0.00069,0.01584,,,,
27.986,-0.00161,0.01537,,,,
27.987,-0.00253,0.01478,,,,
28.087,0.01546,0.03624,,,,
28.187,0.11444,0.06297,,,,
28.287,0.20785,0.1271,,,,
28.387,0.30078,0.31035,,,,
28.487,0.39343,0.76718,,,,
28.587,0.48642,1.85977,,,,
28.687,0.57894,4.09233,,,,
28.787,0.67175,7.89145,,,,
28.881,0.75886,12.90789,,,,
28.958,0.83009,17.9701,,,,
29.023,0.89074,22.98134,,,,
29.063,0.92769,26.3244,,,,
29.064,0.92861,26.41032,,,,
29.065,0.92953,26.49648,,,,
29.165,0.91013,22.63842,,,,
29.21,0.86427,17.59449,,,,
29.271,0.80641,12.55522,,,,
29.356,0.72728,7.53738,,,,
29.456,0.63399,3.72798,,,,
29.556,0.54162,1.63584,,,,
29.656,0.44852,0.65061,,,,
29.756,0.35612,0.24793,,,,
29.856,0.26295,0.09936,,,,
29.956,0.1707,0.0471,,,,
30.056,0.07739,0.02792,,,,
30.14,0,0.01533,,,,
30.141,-0.00092,0.01532,,,,
30.142,-0.00185,0.01531,,,,
30.242,0.01631,0.03902,,,,
30.342,0.11516,0.06412,,,,
30.442,0.20852,0.13201,,,,
30.542,0.30148,0.29037,,,,
30.642,0.3941,0.7499,,,,
30.742,0.48709,1.8321,,,,
30.842,0.57962,4.05046,,,,
30.942,0.67244,7.82934,,,,
31.036,0.75953,12.83396,,,,
31.113,0.83076,17.90195,,,,
31.178,0.89141,22.91253,,,,
31.218,0.92837,26.24572,,,,
31.219,0.92929,26.33154,,,,
31.22,0.93022,26.41745,,,,
31.32,0.91091,22.58788,,,,
31.365,0.86496,17.54445,,,,
31.426,0.8071,12.50082,,,,
31.511,0.728,7.49056,,,,
31.611,0.6347,3.68452,,,,
31.711,0.5423,1.61828,,,,
31.811,0.44921,0.632,,,,
31.911,0.35682,0.2454,,,,
32.011,0.26366,0.10933,,,,
32.111,0.17139,0.05017,,,,
32.211,0.07809,0.02522,,,,
32.296,-0.00023,0.01306,,,,
32.297,-0.00115,0.01225,,,,
32.298,-0.00208,0.01152,,,,
32.398,0.0162,0.03605,,,,
32.498,0.11492,0.05255,,,,
32.598,0.20829,0.12932,,,,
32.698,0.30122,0.28848,,,,
32.798,0.39386,0.73288,,,,
32.898,0.48682,1.78124,,,,
32.998,0.57939,3.9832,,,,
33.098,0.6722,7.73249,,,,
33.193,0.76019,12.76783,,,,
33.27,0.83145,17.83078,,,,
33.335,0.89208,22.8388,,,,
33.374,0.92813,26.11164,,,,
33.375,0.92905,26.19818,,,,
33.376,0.92997,26.28478,,,,
33.476,0.91058,22.43803,,,,
33.521,0.86473,17.42361,,,,
33.582,0.80685,12.40792,,,,
33.667,0.72774,7.40262,,,,
33.767,0.63445,3.63797,,,,
33.867,0.54205,1.57991,,,,
33.967,0.44896,0.62053,,,,
34.067,0.35656,0.23415,,,,
34.167,0.26339,0.10246,,,,
34.267,0.17119,0.05097,,,,
34.367,0.0778,0.03025,,,,
34.452,-0.00045,0.00942,,,,
34.453,-0.00138,0.0091,,,,
34.454,-0.0023,0.00885,,,,
34.554,0.01581,0.03457,,,,
34.654,0.11459,0.05739,,,,
34.754,0.20796,0.12135,,,,
34.854,0.30088,0.28052,,,,
34.954,0.39354,0.71487,,,,
35.054,0.48648,1.73069,,,,
35.154,0.57905,3.9059,,,,
35.254,0.67187,7.6236,,,,
35.349,0.75988,12.65674,,,,
35.426,0.83111,17.69926,,,,
35.492,0.89267,22.77799,,,,
35.53,0.92782,25.95508,,,,
35.531,0.92874,26.04101,,,,
35.532,0.92966,26.127,,,,
35.632,0.91038,22.31582,,,,
35.677,0.8644,17.30051,,,,
35.738,0.80654,12.29925,,,,
35.824,0.72648,7.28263,,,,
35.924,0.63323,3.55493,,,,
36.024,0.54082,1.53822,,,,
36.124,0.4477,0.60126,,,,
36.224,0.35531,0.22928,,,,
36.324,0.26215,0.09911,,,,
36.424,0.17009,0.05156,,,,
36.524,0.07657,0.02877,,,,
36.608,-0.00083,0.0202,,,,
36.609,-0.00175,0.01967,,,,
36.61,-0.00268,0.0192,,,,
36.71,0.01541,0.02681,,,,
36.81,0.11429,0.05658,,,,
36.91,0.20771,0.11667,,,,
37.01,0.3006,0.27272,,,,
37.11,0.3933,0.69282,,,,
37.21,0.48621,1.70374,,,,
37.31,0.5788,3.83631,,,,
37.41,0.67158,7.53651,,,,
37.505,0.75961,12.53869,,,,
37.582,0.83085,17.57358,,,,
37.648,0.89238,22.63714,,,,
37.686,0.92756,25.83151,,,,
37.687,0.92849,25.91785,,,,
37.688,0.92941,26.00422,,,,
37.788,0.90993,22.18121,,,,
37.833,0.86407,17.17696,,,,
37.895,0.8053,12.12085,,,,
37.982,0.7243,7.11036,,,,
38.082,0.63105,3.45095,,,,
38.182,0.53866,1.47823,,,,
38.282,0.44551,0.57328,,,,
38.382,0.35315,0.2225,,,,
38.482,0.25997,0.10099,,,,
38.582,0.16783,0.04468,,,,
38.682,0.07437,0.02868,,,,
38.763,-0.00021,0.01759,,,,
38.764,-0.00113,0.01766,,,,
38.765,-0.00206,0.01768,,,,
38.865,0.0162,0.03628,,,,
38.965,0.11493,0.05779,,,,
39.065,0.20834,0.12223,,,,
39.165,0.30123,0.27117,,,,
39.265,0.39391,0.68352,,,,
39.365,0.48682,1.686,,,,
39.465,0.57942,3.79764,,,,
39.565,0.6722,7.49862,,,,
39.661,0.76113,12.55405,,,,
39.738,0.8324,17.59943,,,,
39.803,0.89299,22.60049,,,,
39.841,0.9282,25.78408,,,,
39.842,0.92912,25.86983,,,,
39.843,0.93004,25.95585,,,,
39.943,0.91097,22.18175,,,,
39.988,0.86482,17.15739,,,,
40.05,0.80596,12.09483,,,,
40.137,0.72496,7.07391,,,,
40.237,0.63171,3.42741,,,,
40.337,0.53931,1.45787,,,,
40.437,0.44616,0.57128,,,,
40.537,0.35381,0.2127,,,,
40.637,0.26061,0.08932,,,,
40.737,0.16852,0.04691,,,,
40.837,0.07501,0.02687,,,,
40.919,-0.00048,0.01394,,,,
40.92,-0.0014,0.0137,,,,
40.921,-0.00232,0.01335,,,,
41.021,0.0159,0.03365,,,,
41.121,0.11462,0.06048,,,,
41.221,0.20805,0.11583,,,,
41.321,0.30092,0.26868,,,,
41.421,0.39364,0.66443,,,,
41.521,0.48653,1.64965,,,,
41.621,0.57914,3.75017,,,,
41.721,0.6719,7.4009,,,,
41.817,0.76085,12.44475,,,,
41.894,0.83209,17.48297,,,,
41.96,0.89362,22.55712,,,,
41.997,0.92789,25.65288,,,,
41.998,0.92881,25.73941,,,,
