Strain : Tensile strain (Extension) gauge length,"100.00000",mm

Time,Extension,Load
(s),(mm),(N)
"34.22000","1.10363","38.48738"
"34.32000","1.10363","38.45676"
"34.42000","1.10363","38.41613"
"34.52000","1.10363","38.38134"
"34.62000","1.10363","38.35681"
"34.72000","1.10363","38.32236"
"34.82000","1.10363","38.29202"
"34.92000","1.10363","38.26479"
"35.02000","1.10363","38.23632"
"35.12000","1.10363","38.20254"
"35.22000","1.10363","38.18091"
"35.32000","1.10363","38.15047"
"35.42000","1.10363","38.11288"
"35.52000","1.10363","38.09752"
"35.62000","1.10363","38.07110"
"35.72000","1.10363","38.04650"
"35.82000","1.10363","38.02592"
"35.92000","1.10363","37.99738"
"36.02000","1.10363","37.96338"
"36.12000","1.10363","37.94923"
"36.22000","1.10363","37.91906"
"36.32000","1.10363","37.89910"
"36.42000","1.10363","37.87799"
"36.52000","1.10363","37.84539"
"36.62000","1.10363","37.83131"
"36.72000","1.10363","37.80981"
"36.82000","1.10363","37.79280"
"36.92000","1.10363","37.76591"
"37.02000","1.10363","37.75543"
"37.12000","1.10363","37.72537"
"37.22000","1.10363","37.71471"
"37.32000","1.10363","37.67833"
"37.42000","1.10363","37.67104"
"37.52000","1.10363","37.65251"
"37.62000","1.10363","37.62850"
"37.72000","1.10363","37.60711"
"37.82000","1.10363","37.59842"
"37.92000","1.10363","37.56527"
"38.02000","1.10363","37.54947"
"38.12000","1.10363","37.53931"
"38.22000","1.10363","37.51662"
"38.32000","1.10363","37.50602"
"38.42000","1.10363","37.47860"
"38.52000","1.10363","37.46597"
"38.62000","1.10363","37.45621"
"38.72000","1.10363","37.43421"
"38.82000","1.10363","37.42270"
"38.92000","1.10363","37.41028"
"39.02000","1.10363","37.38688"
"39.12000","1.10363","37.37789"
"39.22000","1.10363","37.35276"
"39.32000","1.10363","37.33172"
"39.42000","1.10363","37.33303"
"39.52000","1.10363","37.30510"
"39.62000","1.10363","37.29765"
"39.72000","1.10363","37.27581"
"39.82000","1.10363","37.26592"
"39.92000","1.10363","37.24804"
"40.02000","1.10363","37.23846"
"40.12000","1.10363","37.21191"
"40.22000","1.10363","37.19991"
"40.32000","1.10363","37.18192"
"40.42000","1.10363","37.17258"
"40.52000","1.10363","37.15510"
"40.62000","1.10363","37.13611"
"40.72000","1.10363","37.13390"
"40.82000","1.10363","37.11925"
"40.92000","1.10363","37.10204"
"41.02000","1.10363","37.09062"
"41.12000","1.10363","37.07405"
"41.22000","1.10363","37.06363"
"41.32000","1.10363","37.04923"
"41.42000","1.10363","37.04302"
"41.52000","1.10363","37.03251"
"41.62000","1.10363","37.01274"
"41.72000","1.10363","37.00091"
"41.82000","1.10363","36.98029"
"41.92000","1.10363","36.97648"
"42.02000","1.10363","36.95919"
"42.12000","1.10363","36.95340"
"42.22000","1.10363","36.93756"
"42.32000","1.10363","36.92684"
"42.42000","1.10363","36.91107"
"42.52000","1.10363","36.89775"
"42.62000","1.10363","36.88643"
"42.72000","1.10363","36.87109"
"42.82000","1.10363","36.86626"
"42.92000","1.10363","36.84591"
"43.02000","1.10363","36.84018"
"43.12000","1.10363","36.83307"
"43.22000","1.10363","36.81284"
"43.32000","1.10363","36.80210"
"43.42000","1.10363","36.78542"
"43.52000","1.10363","36.78183"
"43.62000","1.10363","36.77036"
"43.72000","1.10363","36.75931"
"43.82000","1.10363","36.73746"
"43.92000","1.10363","36.73547"
"44.02000","1.10363","36.71387"
"44.12000","1.10363","36.71329"
"44.22000","1.10363","36.70030"
"44.32000","1.10363","36.68533"
"44.42000","1.10363","36.68419"
"44.52000","1.10363","36.66794"
"44.62000","1.10363","36.66609"
"44.72000","1.10363","36.65296"
"44.82000","1.10363","36.63165"
"44.92000","1.10363","36.62027"
"45.02000","1.10363","36.61812"
"45.12000","1.10363","36.60728"
"45.22000","1.10363","36.59977"
"45.32000","1.10363","36.58874"
"45.42000","1.10363","36.57790"
"45.52000","1.10363","36.56760"
"45.62000","1.10363","36.55566"
