Strain : Tensile strain (Extension) gauge length,"100.00000",mm

Time,Extension,Load
(s),(mm),(N)
"2.78000","0.94614","45.07813"
"2.79000","0.94960","45.38681"
"2.80000","0.95312","45.69854"
"2.81000","0.95668","46.01773"
"2.82000","0.96024","46.33501"
"2.83000","0.96377","46.64552"
"2.84000","0.96727","46.95421"
"2.85000","0.97075","47.25658"
"2.86000","0.97420","47.55165"
"2.87000","0.97764","47.85394"
"2.88000","0.98108","48.15730"
"2.89000","0.98456","48.46508"
"2.90000","0.98806","48.78384"
"2.91000","0.99158","49.11146"
"2.92000","0.99509","49.42865"
"2.93000","0.99857","49.73904"
"2.94000","1.00200","50.04106"
"2.95000","1.00540","50.34045"
"2.96000","1.00879","50.63469"
"2.97000","1.01217","50.93060"
"2.98000","1.01557","51.23093"
"2.99000","1.01902","51.53768"
"3.00000","1.02252","51.85606"
"3.01000","1.02605","52.18082"
"3.02000","1.02955","52.50669"
"3.03000","1.03302","52.82914"
"3.04000","1.03645","53.14548"
"3.05000","1.03986","53.45805"
"3.06000","1.04326","53.76789"
"3.07000","1.04666","54.07291"
"3.08000","1.05008","54.37546"
"3.09000","1.05352","54.68283"
"3.10000","1.05702","54.99783"
"3.11000","1.06057","55.32053"
"3.12000","1.06412","55.64643"
"3.13000","1.06765","55.97150"
"3.14000","1.07111","56.29164"
"3.15000","1.07452","56.60517"
"3.16000","1.07789","56.91456"
"3.17000","1.08125","57.22410"
"3.18000","1.08462","57.53230"
"3.19000","1.08803","57.84611"
"3.20000","1.09151","58.16626"
"3.21000","1.09505","58.48861"
"3.22000","1.09862","58.81395"
"3.23000","1.10219","59.13621"
"3.24000","1.10573","59.46130"
"3.25000","1.10921","59.78363"
"3.26000","1.11262","60.09809"
"3.27000","1.11597","60.40462"
"3.28000","1.11930","60.70597"
"3.29000","1.12266","61.00999"
"3.30000","1.12610","61.32121"
"3.31000","1.12960","61.64293"
"3.32000","1.13316","61.96769"
"3.33000","1.13674","62.29304"
"3.34000","1.14032","62.61317"
"3.35000","1.14387","62.93332"
"3.36000","1.14738","63.25205"
"3.37000","1.15083","63.56590"
"3.38000","1.15422","63.87424"
"3.39000","1.15760","64.18622"
"3.40000","1.16100","64.50243"
"3.41000","1.16445","64.82117"
"3.42000","1.16794","65.14381"
"3.43000","1.17147","65.46852"
"3.44000","1.17500","65.78872"
"3.45000","1.17851","66.10856"
"3.46000","1.18201","66.42403"
"3.47000","1.18547","66.73829"
"3.48000","1.18888","67.04787"
"3.49000","1.19225","67.35802"
"3.50000","1.19562","67.67134"
"3.51000","1.19902","67.99002"
"3.52000","1.20247","68.31772"
"3.53000","1.20595","68.65305"
"3.54000","1.20945","68.98536"
"3.55000","1.21296","69.30684"
"3.56000","1.21646","69.63025"
"3.57000","1.21994","69.95026"
"3.58000","1.22340","70.26311"
"3.59000","1.22684","70.57200"
"3.60000","1.23028","70.88813"
"3.61000","1.23373","71.20784"
"3.62000","1.23720","71.53153"
"3.63000","1.24067","71.85908"
"3.64000","1.24414","72.18130"
"3.65000","1.24758","72.49915"
"3.66000","1.25100","72.81576"
"3.67000","1.25442","73.12656"
"3.68000","1.25783","73.43104"
"3.69000","1.26125","73.73316"
"3.70000","1.26469","74.03640"
"3.71000","1.26817","74.34564"
"3.72000","1.27171","74.66194"
"3.73000","1.27525","74.98466"
"3.74000","1.27877","75.30803"
"3.75000","1.28225","75.63029"
"3.76000","1.28568","75.94862"
"3.77000","1.28907","76.26322"
"3.78000","1.29245","76.57215"
"3.79000","1.29582","76.87481"
"3.80000","1.29922","77.18052"
"3.81000","1.30266","77.49259"
"3.82000","1.30618","77.81924"
"3.83000","1.30977","78.15444"
"3.84000","1.31337","78.48986"
