Strain : Tensile strain (Extension) gauge length,100,mm,Sample 24,,,
,,,,,,
Time,Extension,Load,,,,
(s),(mm),(N),Low Start,Low End,High Start,High End
28.129,0.36266,0.2901,,,,
28.229,0.40164,0.38675,,,,
28.329,0.44029,0.54701,,,,
28.429,0.47891,0.80638,,,,
28.529,0.51753,1.18281,,,,
28.629,0.55628,1.70074,,,,
28.729,0.59512,2.39532,,,,
28.829,0.63365,3.26748,,,,
28.929,0.67209,4.36345,,,,
29.029,0.71069,5.67796,,,,
29.129,0.74931,7.23487,,,,
29.229,0.78812,9.04689,,,,
29.329,0.82671,11.07542,,,,
29.429,0.8653,13.30702,,,,
29.529,0.90398,15.7475,,,,
29.629,0.94287,18.38752,,,,
29.729,0.98163,21.20645,,,,
29.829,1.02022,24.14883,,,,
29.929,1.05873,27.27851,,,,
30.029,1.0973,30.5389,,,,
30.129,1.13621,33.94099,,,,
30.229,1.17475,37.39342,,,,
30.329,1.21335,40.94646,,,,
30.429,1.25187,44.56707,,,,
30.529,1.29049,48.27048,,,,
30.629,1.32954,52.04943,,,,
30.713,1.36179,55.18726,,,,
30.714,1.36219,55.22593,,,,
30.715,1.36258,55.26469,,,,
30.815,1.37533,55.67211,,,,
30.915,1.37306,54.77537,,,,
31.015,1.37159,54.1785,,,,
31.115,1.37089,53.77557,,,,
31.215,1.37062,53.46676,,,,
31.315,1.37056,53.23263,,,,
31.415,1.37053,53.01287,,,,
31.515,1.37053,52.83273,,,,
31.615,1.37053,52.67163,,,,
31.715,1.37053,52.52623,,,,
31.815,1.37053,52.38697,,,,
31.915,1.37053,52.25909,,,,
32.015,1.37053,52.15062,,,,
32.115,1.37053,52.03991,,,,
32.215,1.37043,51.93839,,,,
32.315,1.37044,51.84184,,,,
32.415,1.37044,51.75826,,,,
32.515,1.37049,51.66717,,,,
32.615,1.37049,51.59266,,,,
32.715,1.3705,51.51392,,,,
32.815,1.3705,51.43589,,,,
32.915,1.3705,51.36995,,,,
33.015,1.37051,51.30734,,,,
33.115,1.37051,51.23419,,,,
33.215,1.37051,51.17735,,,,
33.315,1.37051,51.10824,,,,
33.415,1.37053,51.05975,,,,
33.515,1.37053,50.99812,,,,
33.615,1.37053,50.94976,,,,
33.715,1.37053,50.89917,,,,
33.815,1.37053,50.84363,,,,
33.915,1.37053,50.79628,,,,
34.015,1.37053,50.74543,,,,
34.115,1.37053,50.69556,,,,
34.215,1.37053,50.64907,,,,
34.315,1.37053,50.61095,,,,
34.415,1.37053,50.55719,,,,
34.515,1.37053,50.51378,,,,
34.615,1.37053,50.47352,,,,
34.715,1.37053,50.44604,,,,
34.815,1.37053,50.40449,,,,
34.915,1.37053,50.36414,,,,
35.015,1.37053,50.31995,,,,
35.115,1.37053,50.28388,,,,
35.215,1.37053,50.24837,,,,
35.315,1.37053,50.21729,,,,
35.415,1.37053,50.1815,,,,
35.515,1.37053,50.1443,,,,
35.615,1.37053,50.11188,,,,
35.715,1.37053,50.07609,,,,
35.815,1.37053,50.04548,,,,
35.915,1.37053,50.01475,,,,
36.015,1.37053,49.97654,,,,
