Strain : Tensile strain (Extension) gauge length,100,mm,Sample 24,,,
,,,,,,
Time,Extension,Load,,,,
(s),(mm),(N),Low Start,Low End,High Start,High End
91.611,6.98374,1.16674,,,,
91.612,7.02249,-0.05709,,,,
91.613,7.06123,-1.17639,,,,
91.614,7.09997,-2.19558,,,,
91.615,7.1387,-3.11904,,,,
91.616,7.17743,-3.95144,,,,
91.617,7.21616,-4.69736,,,,
91.618,7.25488,-5.36121,,,,
91.619,7.2936,-5.94772,,,,
91.62,7.33232,-6.46149,,,,
91.621,7.37103,-6.90707,,,,
91.622,7.40974,-7.28874,,,,
91.623,7.44845,-7.6101,,,,
91.624,7.48716,-7.87459,,,,
91.625,7.52586,-8.08594,,,,
91.626,7.56456,-8.24771,,,,
91.627,7.60326,-8.36331,,,,
91.628,7.64196,-8.4362,,,,
91.629,7.68066,-8.47003,,,,
91.63,7.71935,-8.46819,,,,
91.631,7.75805,-8.43373,,,,
91.632,7.79674,-8.36975,,,,
91.633,7.83543,-8.27903,,,,
91.634,7.87411,-8.16371,,,,
91.635,7.9128,-8.0259,,,,
91.636,7.95148,-7.86831,,,,
91.637,7.99017,-7.6937,,,,
91.638,8.02885,-7.5043,,,,
91.639,8.06753,-7.3018,,,,
91.64,8.1062,-7.08775,,,,
91.641,8.14488,-6.86412,,,,
91.642,8.18355,-6.63276,,,,
91.643,8.22223,-6.3951,,,,
91.644,8.2609,-6.15289,,,,
91.645,8.29957,-5.90779,,,,
91.646,8.33824,-5.66101,,,,
91.647,8.37691,-5.4135,,,,
91.648,8.41558,-5.16625,,,,
91.649,8.45425,-4.9202,,,,
91.65,8.49291,-4.67608,,,,
91.651,8.53158,-4.43462,,,,
91.652,8.57024,-4.19652,,,,
91.653,8.6089,-3.96254,,,,
91.654,8.64757,-3.73359,,,,
91.655,8.68623,-3.51023,,,,
91.656,8.72489,-3.29252,,,,
91.657,8.76355,-3.08022,,,,
91.658,8.80221,-2.87305,,,,
91.659,8.84087,-2.67103,,,,
91.66,8.87953,-2.47469,,,,
91.661,8.91819,-2.28473,,,,
91.662,8.95685,-2.10161,,,,
91.663,8.99551,-1.92561,,,,
91.664,9.03417,-1.75673,,,,
91.665,9.07283,-1.59476,,,,
91.666,9.1115,-1.43944,,,,
91.667,9.15016,-1.29057,,,,
91.668,9.18883,-1.1482,,,,
91.669,9.22749,-1.01261,,,,
91.67,9.26616,-0.88407,,,,
91.671,9.30482,-0.7626,,,,
91.672,9.34349,-0.64795,,,,
91.673,9.38216,-0.53991,,,,
91.674,9.42082,-0.43832,,,,
91.675,9.45949,-0.3431,,,,
91.676,9.49816,-0.25433,,,,
91.677,9.53683,-0.17206,,,,
91.678,9.57549,-0.09615,,,,
91.679,9.61416,-0.02653,,,,
91.68,9.65283,0.03709,,,,
91.681,9.6915,0.09536,,,,
91.682,9.73017,0.14894,,,,
91.683,9.76884,0.19813,,,,
91.684,9.80751,0.24298,,,,
91.685,9.84618,0.28356,,,,
91.686,9.88485,0.32019,,,,
91.687,9.92352,0.35326,,,,
91.688,9.96219,0.38297,,,,
91.689,10.00086,0.40941,,,,
91.69,10.03953,0.43265,,,,
91.691,10.0782,0.45293,,,,
91.692,10.11687,0.47039,,,,
91.693,10.15553,0.48495,,,,
91.694,10.1942,0.49676,,,,
91.695,10.23287,0.50619,,,,
91.696,10.27153,0.51374,,,,
91.697,10.3102,0.51981,,,,
91.698,10.34887,0.52458,,,,
91.699,10.38753,0.52801,,,,
91.7,10.4262,0.52999,,,,
91.701,10.46487,0.53053,,,,
91.702,10.50354,0.52984,,,,
91.703,10.5422,0.52814,,,,
91.704,10.58087,0.52551,,,,
91.705,10.61954,0.52208,,,,
91.706,10.6582,0.51792,,,,
91.707,10.69687,0.51285,,,,
91.708,10.73554,0.50685,,,,
91.709,10.7742,0.50003,,,,
91.71,10.81287,0.49252,,,,
91.711,10.85153,0.48446,,,,
91.712,10.8902,0.47579,,,,
91.713,10.92886,0.46629,,,,
91.714,10.96752,0.45562,,,,
91.715,11.00618,0.44391,,,,
91.716,11.04484,0.43192,,,,
91.717,11.0835,0.42035,,,,
91.718,11.12217,0.40952,,,,
91.719,11.16083,0.3991,,,,
91.72,11.19949,0.38845,,,,
91.721,11.23815,0.37719,,,,
91.722,11.27681,0.36513,,,,
91.723,11.31547,0.3526,,,,
91.724,11.35413,0.34048,,,,
91.725,11.39279,0.32967,,,,
91.726,11.43146,0.32048,,,,
91.727,11.47012,0.31257,,,,
91.728,11.50879,0.30523,,,,
91.729,11.54745,0.29784,,,,
91.73,11.58612,0.29042,,,,
91.731,11.62478,0.28334,,,,
91.732,11.66345,0.27678,,,,
91.733,11.70211,0.27074,,,,
91.734,11.74078,0.26515,,,,
91.735,11.77944,0.25973,,,,
91.736,11.81811,0.25418,,,,
91.737,11.85678,0.24827,,,,
91.738,11.89544,0.24192,,,,
91.739,11.93411,0.23528,,,,
91.74,11.97278,0.22857,,,,
91.741,12.01145,0.22187,,,,
91.742,12.05012,0.21538,,,,
91.743,12.08879,0.2094,,,,
91.744,12.12746,0.20405,,,,
91.745,12.16613,0.19929,,,,
91.746,12.20479,0.19495,,,,
91.747,12.24346,0.1906,,,,
91.748,12.28213,0.18612,,,,
91.749,12.3208,0.18156,,,,
91.75,12.35947,0.17699,,,,
91.751,12.39814,0.1726,,,,
91.752,12.43681,0.16848,,,,
91.753,12.47547,0.16467,,,,
91.754,12.51414,0.16114,,,,
91.755,12.5528,0.15795,,,,
91.756,12.59147,0.15528,,,,
91.757,12.63013,0.15304,,,,
91.758,12.6688,0.15091,,,,
91.759,12.70746,0.14872,,,,
91.76,12.74613,0.14659,,,,
91.761,12.78479,0.14482,,,,
91.762,12.82345,0.14356,,,,
91.763,12.86212,0.14269,,,,
91.764,12.90078,0.14224,,,,
91.765,12.93944,0.14231,,,,
91.766,12.97811,0.14276,,,,
91.767,13.01677,0.14335,,,,
91.768,13.05543,0.14387,,,,
91.769,13.09409,0.14421,,,,
91.77,13.13275,0.14446,,,,
91.771,13.17141,0.14486,,,,
91.772,13.21007,0.14561,,,,
91.773,13.24873,0.14646,,,,
91.774,13.28739,0.14709,,,,
91.775,13.32605,0.14769,,,,
91.776,13.3647,0.14862,,,,
91.777,13.40336,0.14994,,,,
91.778,13.44201,0.15132,,,,
91.779,13.48067,0.15203,,,,
91.78,13.51932,0.15156,,,,
91.781,13.55797,0.15004,,,,
91.782,13.59663,0.1479,,,,
91.783,13.63528,0.14563,,,,
91.784,13.67393,0.1438,,,,
91.785,13.71258,0.14284,,,,
91.786,13.75124,0.14277,,,,
91.787,13.78989,0.14303,,,,
91.788,13.82854,0.14308,,,,
91.789,13.86719,0.14285,,,,
91.79,13.90584,0.14273,,,,
91.791,13.9445,0.14317,,,,
91.792,13.98315,0.14438,,,,
91.793,14.0218,0.1464,,,,
91.794,14.06046,0.14905,,,,
91.795,14.09911,0.15175,,,,
91.796,14.13776,0.15393,,,,
91.797,14.17642,0.15529,,,,
91.798,14.21508,0.15581,,,,
91.799,14.25374,0.15589,,,,
91.8,14.2924,0.15605,,,,
91.801,14.33106,0.15663,,,,
91.802,14.36972,0.15792,,,,
91.803,14.40838,0.15991,,,,
91.804,14.44705,0.16223,,,,
91.805,14.48571,0.16447,,,,
91.806,14.52437,0.16616,,,,
91.807,14.56304,0.16685,,,,
91.808,14.6017,0.16648,,,,
91.809,14.64037,0.16536,,,,
91.81,14.67903,0.16397,,,,
91.811,14.7177,0.16271,,,,
91.812,14.75636,0.16185,,,,
91.813,14.79503,0.16143,,,,
91.814,14.83369,0.16116,,,,
91.815,14.87236,0.16082,,,,
91.816,14.91102,0.1603,,,,
91.817,14.94969,0.1595,,,,
91.818,14.98835,0.15855,,,,
91.819,15.02702,0.15758,,,,
91.82,15.06568,0.1567,,,,
91.821,15.10435,0.15622,,,,
91.822,15.14301,0.15631,,,,
91.823,15.18167,0.1568,,,,
91.824,15.22034,0.15755,,,,
91.825,15.259,0.15832,,,,
91.826,15.29766,0.15879,,,,
91.827,15.33632,0.15871,,,,
91.828,15.37498,0.15798,,,,
91.829,15.41365,0.1568,,,,
91.83,15.45231,0.15571,,,,
91.831,15.49097,0.15523,,,,
91.832,15.52963,0.15573,,,,
91.833,15.56829,0.15733,,,,
91.834,15.60695,0.15952,,,,
91.835,15.64561,0.16137,,,,
91.836,15.68427,0.16218,,,,
91.837,15.72293,0.16195,,,,
91.838,15.76159,0.16116,,,,
91.839,15.80025,0.16021,,,,
91.84,15.83891,0.15945,,,,
91.841,15.87757,0.15911,,,,
91.842,15.91624,0.15908,,,,
91.843,15.9549,0.15911,,,,
91.844,15.99356,0.15897,,,,
91.845,16.03222,0.15854,,,,
91.846,16.07088,0.15779,,,,
91.847,16.10954,0.15662,,,,
91.848,16.1482,0.1551,,,,
91.849,16.18686,0.15355,,,,
91.85,16.22552,0.15239,,,,
91.851,16.26418,0.15165,,,,
91.852,16.30284,0.15092,,,,
91.853,16.34149,0.14994,,,,
91.854,16.38016,0.14863,,,,
91.855,16.41882,0.14726,,,,
91.856,16.45748,0.14648,,,,
91.857,16.49614,0.14659,,,,
91.858,16.5348,0.14748,,,,
91.859,16.57347,0.14891,,,,
91.86,16.61213,0.15042,,,,
91.861,16.65079,0.15153,,,,
91.862,16.68946,0.15222,,,,
91.863,16.72813,0.15279,,,,
91.864,16.76679,0.15361,,,,
91.865,16.80546,0.15487,,,,
91.866,16.84413,0.15627,,,,
91.867,16.88279,0.1574,,,,
91.868,16.92146,0.15813,,,,
91.869,16.96013,0.15842,,,,
91.87,16.99879,0.15817,,,,
91.871,17.03746,0.15738,,,,
91.872,17.07613,0.15658,,,,
91.873,17.11479,0.15623,,,,
91.874,17.15346,0.15629,,,,
91.875,17.19213,0.15663,,,,
91.876,17.23079,0.15705,,,,
91.877,17.26946,0.15748,,,,
91.878,17.30813,0.15798,,,,
91.879,17.3468,0.15859,,,,
91.88,17.38546,0.15935,,,,
91.881,17.42413,0.16016,,,,
91.882,17.4628,0.16083,,,,
91.883,17.50147,0.16136,,,,
91.884,17.54013,0.16188,,,,
91.885,17.5788,0.16228,,,,
91.886,17.61747,0.16251,,,,
91.887,17.65613,0.16266,,,,
91.888,17.6948,0.16277,,,,
91.889,17.73346,0.16274,,,,
91.89,17.77212,0.16251,,,,
91.891,17.81079,0.16195,,,,
91.892,17.84945,0.161,,,,
91.893,17.88811,0.15995,,,,
91.894,17.92677,0.15911,,,,
91.895,17.96544,0.15859,,,,
91.896,18.0041,0.15835,,,,
91.897,18.04276,0.15845,,,,
91.898,18.08143,0.15892,,,,
91.899,18.12009,0.15966,,,,
91.9,18.15876,0.16046,,,,
91.901,18.19742,0.16113,,,,
91.902,18.23609,0.16157,,,,
91.903,18.27475,0.16169,,,,
91.904,18.31342,0.16133,,,,
91.905,18.35208,0.16055,,,,
91.906,18.39074,0.1597,,,,
91.907,18.4294,0.1592,,,,
91.908,18.46806,0.15933,,,,
91.909,18.50672,0.16005,,,,
91.91,18.54537,0.16095,,,,
91.911,18.58403,0.1616,,,,
91.912,18.62268,0.16168,,,,
91.913,18.66134,0.16107,,,,
91.914,18.7,0.15996,,,,
91.915,18.73865,0.15885,,,,
91.916,18.7773,0.15811,,,,
91.917,18.81595,0.15776,,,,
91.918,18.8546,0.15759,,,,
91.919,18.89326,0.15718,,,,
91.92,18.93191,0.15602,,,,
91.921,18.97056,0.1543,,,,
91.922,19.00921,0.15262,,,,
91.923,19.04786,0.15148,,,,
91.924,19.08652,0.15103,,,,
91.925,19.12517,0.15117,,,,
91.926,19.16382,0.15158,,,,
91.927,19.20247,0.15176,,,,
91.928,19.24113,0.15156,,,,
91.929,19.27978,0.15096,,,,
91.93,19.31844,0.15005,,,,
91.931,19.35709,0.1492,,,,
91.932,19.39574,0.1485,,,,
91.933,19.4344,0.14788,,,,
91.934,19.47306,0.14719,,,,
91.935,19.51171,0.14631,,,,
91.936,19.55037,0.14538,,,,
91.937,19.58903,0.14482,,,,
91.938,19.62769,0.14481,,,,
91.939,19.66635,0.14512,,,,
91.94,19.70501,0.14558,,,,
91.941,19.74367,0.14621,,,,
91.942,19.78233,0.14697,,,,
91.943,19.82099,0.14778,,,,
91.944,19.85965,0.14837,,,,
91.945,19.89831,0.14856,,,,
91.946,19.93697,0.14851,,,,
91.947,19.97563,0.14854,,,,
91.948,20.01428,0.14864,,,,
