Strain : Tensile strain (Extension) gauge length,100,mm,,,,
,,,,,,
Time,Extension,Load,,,,
(s),(mm),(N),Low Start,Low End,High Start,High End
2.87,0.97764,47.85394,,,,
2.88,0.98108,48.1573,,,,
2.89,0.98456,48.46508,,,,
2.9,0.98806,48.78384,,,,
2.91,0.99158,49.11146,,,,
2.92,0.99509,49.42865,,,,
2.93,0.99857,49.73904,,,,
2.94,1.002,50.04106,,,,
2.95,1.0054,50.34045,,,,
2.96,1.00879,50.63469,,,,
2.97,1.01217,50.9306,,,,
2.98,1.01557,51.23093,,,,
2.99,1.01902,51.53768,,,,
3,1.02252,51.85606,,,,
3.01,1.02605,52.18082,,,,
3.02,1.02955,52.50669,,,,
3.03,1.03302,52.82914,,,,
3.04,1.03645,53.14548,,,,
3.05,1.03986,53.45805,,,,
3.06,1.04326,53.76789,,,,
3.07,1.04666,54.07291,,,,
3.08,1.05008,54.37546,,,,
3.09,1.05352,54.68283,,,,
3.1,1.05702,54.99783,,,,
3.11,1.06057,55.32053,,,,
3.12,1.06412,55.64643,,,,
3.13,1.06765,55.9715,,,,
3.14,1.07111,56.29164,,,,
3.15,1.07452,56.60517,,,,
3.16,1.07789,56.91456,,,,
3.17,1.08125,57.2241,,,,
3.18,1.08462,57.5323,,,,
3.19,1.08803,57.84611,,,,
3.2,1.09151,58.16626,,,,
3.21,1.09505,58.48861,,,,
3.22,1.09862,58.81395,,,,
3.23,1.10219,59.13621,,,,
3.24,1.10573,59.4613,,,,
3.25,1.10921,59.78363,,,,
3.26,1.11262,60.09809,,,,
3.27,1.11597,60.40462,,,,
3.28,1.1193,60.70597,,,,
3.29,1.12266,61.00999,,,,
3.3,1.1261,61.32121,,,,
3.31,1.1296,61.64293,,,,
3.32,1.13316,61.96769,,,,
3.33,1.13674,62.29304,,,,
3.34,1.14032,62.61317,,,,
3.35,1.14387,62.93332,,,,
3.36,1.14738,63.25205,,,,
3.37,1.15083,63.5659,,,,
3.38,1.15422,63.87424,,,,
3.39,1.1576,64.18622,,,,
3.4,1.161,64.50243,,,,
3.41,1.16445,64.82117,,,,
3.42,1.16794,65.14381,,,,
3.43,1.17147,65.46852,,,,
3.44,1.175,65.78872,,,,
3.45,1.17851,66.10856,,,,
3.46,1.18201,66.42403,,,,
3.47,1.18547,66.73829,,,,
3.48,1.18888,67.04787,,,,
3.49,1.19225,67.35802,,,,
3.5,1.19562,67.67134,,,,
3.51,1.19902,67.99002,,,,
3.52,1.20247,68.31772,,,,
3.53,1.20595,68.65305,,,,
3.54,1.20945,68.98536,,,,
3.55,1.21296,69.30684,,,,
3.56,1.21646,69.63025,,,,
3.57,1.21994,69.95026,,,,
3.58,1.2234,70.26311,,,,
3.59,1.22684,70.572,,,,
3.6,1.23028,70.88813,,,,
3.61,1.23373,71.20784,,,,
3.62,1.2372,71.53153,,,,
3.63,1.24067,71.85908,,,,
3.64,1.24414,72.1813,,,,
3.65,1.24758,72.49915,,,,
3.66,1.251,72.81576,,,,
3.67,1.25442,73.12656,,,,
3.68,1.25783,73.43104,,,,
3.69,1.26125,73.73316,,,,
3.7,1.26469,74.0364,,,,
3.71,1.26817,74.34564,,,,
3.72,1.27171,74.66194,,,,
3.73,1.27525,74.98466,,,,
3.74,1.27877,75.30803,,,,
3.75,1.28225,75.63029,,,,
3.76,1.28568,75.94862,,,,
3.77,1.28907,76.26322,,,,
3.78,1.29245,76.57215,,,,
3.79,1.29582,76.87481,,,,
3.8,1.29922,77.18052,,,,
3.81,1.30266,77.49259,,,,
3.82,1.30618,77.81924,,,,
3.83,1.30977,78.15444,,,,
3.84,1.31337,78.48986,,,,
3.85,1.31692,78.8213,,,,
3.86,1.3204,79.14344,,,,
3.87,1.32382,79.46507,,,,
3.88,1.32721,79.78411,,,,
3.89,1.33059,80.09839,,,,
3.9,1.33398,80.40993,,,,
3.91,1.33741,80.72198,,,,
3.92,1.34092,81.04021,,,,
3.93,1.34451,81.3682,,,,
3.94,1.34813,81.69897,,,,
3.95,1.35173,82.02831,,,,
3.96,1.35528,82.35548,,,,
3.97,1.35873,82.67701,,,,
3.98,1.36212,82.98875,,,,
3.99,1.36546,83.29266,,,,
4,1.36878,83.60282,,,,
4.01,1.37214,83.91807,,,,
4.02,1.37554,84.23621,,,,
4.03,1.37901,84.5589,,,,
4.04,1.38254,84.88101,,,,
4.047,1.38504,85.10606,,,,
4.048,1.3854,85.13831,,,,
4.049,1.38575,85.17058,,,,
4.149,1.38397,83.89145,,,,
4.236,1.35073,78.83888,,,,
4.335,1.31566,73.83829,,,,
4.435,1.28099,69.20659,,,,
4.535,1.24628,64.71734,,,,
4.635,1.21154,60.36562,,,,
4.735,1.17678,56.16208,,,,
4.835,1.14205,52.09782,,,,
4.935,1.10775,48.23473,,,,
5.035,1.0732,44.46391,,,,
5.135,1.03848,40.83311,,,,
5.235,1.00368,37.31499,,,,
5.335,0.96887,33.95756,,,,
5.435,0.93438,30.76912,,,,
5.535,0.90003,27.7439,,,,
5.635,0.86539,24.85328,,,,
5.735,0.83058,22.1251,,,,
5.835,0.79575,19.56906,,,,
5.935,0.76098,17.19942,,,,
6.035,0.72669,15.04153,,,,
6.135,0.6922,13.04856,,,,
6.235,0.65764,11.22145,,,,
6.335,0.62281,9.56503,,,,
6.435,0.58813,8.08002,,,,
6.535,0.55342,6.76781,,,,
6.635,0.51916,5.62287,,,,
6.735,0.48463,4.59804,,,,
6.835,0.44986,3.69195,,,,
6.935,0.41512,2.91425,,,,
7.035,0.38032,2.25136,,,,
7.135,0.34609,1.71231,,,,
7.235,0.31151,1.25999,,,,
7.335,0.27689,0.90567,,,,
7.435,0.24214,0.62464,,,,
7.535,0.20736,0.40454,,,,
7.635,0.17298,0.24333,,,,
7.735,0.13833,0.13147,,,,
7.835,0.10382,0.07032,,,,
7.935,0.06908,0.03865,,,,
8.035,0.03442,0.01666,,,,
8.134,0.00004,0.01815,,,,
8.135,-0.00029,0.01772,,,,
8.136,-0.00062,0.01731,,,,
8.236,0.00084,0.03524,,,,
8.336,0.0396,0.05389,,,,
8.436,0.07505,0.09865,,,,
8.536,0.10981,0.17171,,,,
8.636,0.14437,0.30504,,,,
8.736,0.179,0.48806,,,,
8.742,0.18107,0.50136,,,,
8.743,0.18142,0.50369,,,,
8.744,0.18177,0.50606,,,,
8.749,0.18351,0.52435,,,,
8.754,0.18561,0.59406,,,,
8.759,0.1893,0.71477,,,,
8.764,0.19644,0.8954,,,,
8.769,0.20917,1.16326,,,,
8.774,0.22963,1.57568,,,,
8.779,0.2598,2.25012,,,,
8.784,0.30138,3.36978,,,,
8.789,0.35576,5.21914,,,,
8.794,0.42403,8.16001,,,,
8.799,0.5069,12.59241,,,,
8.804,0.60459,18.87008,,,,
8.809,0.71679,27.21736,,,,
8.814,0.84289,37.71754,,,,
8.819,0.98202,50.28814,,,,
8.824,1.13264,64.62376,,,,
