Strain : Tensile strain (Extension) gauge length,100,mm,,,,
,,,,,,
Time,Extension,Load,,,,
(s),(mm),(N),Low Start,Low End,High Start,High End
47.309,1.30425,28.89773,,,,
47.409,1.30425,28.89104,,,,
47.509,1.30425,28.88142,,,,
47.609,1.30425,28.87217,,,,
47.709,1.30425,28.86615,,,,
47.809,1.30425,28.85772,,,,
47.909,1.30425,28.84487,,,,
48.009,1.30425,28.83683,,,,
48.109,1.30425,28.83362,,,,
48.209,1.30425,28.8223,,,,
48.309,1.30425,28.81822,,,,
48.409,1.30425,28.81195,,,,
48.509,1.30425,28.79952,,,,
48.609,1.30425,28.79322,,,,
48.709,1.30425,28.77775,,,,
48.809,1.30425,28.76967,,,,
48.909,1.30425,28.76831,,,,
49.009,1.30425,28.75283,,,,
49.109,1.30425,28.74722,,,,
49.209,1.30425,28.74568,,,,
49.309,1.30425,28.72435,,,,
49.409,1.30425,28.72283,,,,
49.509,1.30425,28.71344,,,,
49.609,1.30425,28.70607,,,,
49.709,1.30425,28.6919,,,,
49.809,1.30425,28.69048,,,,
49.909,1.30425,28.68522,,,,
50.009,1.30425,28.67674,,,,
50.109,1.30425,28.67238,,,,
50.209,1.30425,28.65789,,,,
50.309,1.30425,28.65626,,,,
50.409,1.30425,28.63791,,,,
50.509,1.30425,28.63729,,,,
50.609,1.30425,28.62161,,,,
50.708,1.30425,28.61687,,,,
50.709,1.30425,28.61699,,,,
50.73,1.30425,28.62223,,,,
50.83,1.28799,26.69259,,,,
50.93,1.2465,21.79798,,,,
51.03,1.2095,18.20015,,,,
51.13,1.17254,15.11962,,,,
51.23,1.13565,12.50394,,,,
51.33,1.09879,10.27975,,,,
51.43,1.06216,8.38993,,,,
51.53,1.02531,6.74585,,,,
51.63,0.98838,5.35819,,,,
51.73,0.95164,4.21877,,,,
51.83,0.91476,3.26792,,,,
51.93,0.87823,2.50439,,,,
52.03,0.84162,1.9039,,,,
52.13,0.80454,1.41951,,,,
52.23,0.76776,1.06631,,,,
52.33,0.73068,0.79004,,,,
52.43,0.69425,0.58401,,,,
52.53,0.65741,0.43034,,,,
52.63,0.62062,0.31715,,,,
52.73,0.58385,0.23446,,,,
52.83,0.54684,0.17971,,,,
52.93,0.51045,0.13973,,,,
53.03,0.47356,0.09859,,,,
53.13,0.43668,0.08157,,,,
53.23,0.3997,0.07029,,,,
53.33,0.36276,0.05575,,,,
53.43,0.32629,0.05474,,,,
53.53,0.28965,0.04329,,,,
53.63,0.25289,0.03353,,,,
53.73,0.21605,0.03934,,,,
53.83,0.17906,0.0282,,,,
53.93,0.14244,0.02516,,,,
54.03,0.10568,0.01797,,,,
54.13,0.06886,0.02607,,,,
54.23,0.03201,0.01547,,,,
