Strain : Tensile strain (Extension) gauge length,100,mm,,,,
,,,,,,
Time,Extension,Load,,,,
(s),(mm),(N),Low Start,Low End,High Start,High End
20.425,1.03774,30.12621,,,,
20.426,1.03878,30.20868,,,,
20.427,1.03981,30.2912,,,,
20.527,1.01704,26.49244,,,,
20.574,0.96427,21.43025,,,,
20.634,0.90078,16.39124,,,,
20.71,0.82119,11.38272,,,,
20.81,0.71752,6.65809,,,,
20.91,0.61378,3.54101,,,,
21.01,0.51007,1.63927,,,,
21.11,0.40647,0.6447,,,,
21.21,0.30245,0.23255,,,,
21.31,0.19909,0.08765,,,,
21.41,0.09491,0.04718,,,,
21.502,-0.00001,0.03782,,,,
21.503,-0.00105,0.03799,,,,
21.504,-0.00208,0.03811,,,,
21.604,0.02065,0.06219,,,,
21.704,0.12999,0.09953,,,,
21.804,0.23455,0.24671,,,,
21.904,0.33833,0.69637,,,,
22.004,0.44193,1.74754,,,,
22.104,0.5459,3.76818,,,,
22.204,0.64921,6.94922,,,,
22.304,0.75331,11.42063,,,,
22.394,0.84619,16.46622,,,,
22.469,0.92442,21.48309,,,,
22.536,0.99361,26.49356,,,,
22.579,1.03802,29.94877,,,,
22.58,1.03906,30.031,,,,
22.581,1.04009,30.11338,,,,
22.681,1.01718,26.3243,,,,
22.728,0.96452,21.27927,,,,
22.788,0.90106,16.25116,,,,
22.865,0.82046,11.21602,,,,
22.965,0.71677,6.53862,,,,
23.065,0.61306,3.45771,,,,
23.165,0.50929,1.58691,,,,
23.265,0.40575,0.62391,,,,
23.365,0.30173,0.2199,,,,
23.465,0.19836,0.08404,,,,
23.565,0.09417,0.05584,,,,
23.657,-0.00075,0.03775,,,,
23.658,-0.00179,0.03717,,,,
23.659,-0.00283,0.0366,,,,
23.759,0.01994,0.05874,,,,
23.859,0.12924,0.09173,,,,
23.959,0.23381,0.23255,,,,
24.059,0.3376,0.65798,,,,
24.159,0.44119,1.68333,,,,
24.259,0.54515,3.66806,,,,
24.359,0.64847,6.80647,,,,
24.459,0.75257,11.23412,,,,
24.549,0.84545,16.25946,,,,
24.624,0.92368,21.26302,,,,
24.692,0.9939,26.33295,,,,
24.734,1.03729,29.71168,,,,
24.735,1.03832,29.79435,,,,
24.736,1.03936,29.87708,,,,
24.836,1.01647,26.10122,,,,
24.883,0.96378,21.07348,,,,
24.943,0.90031,16.07239,,,,
25.02,0.81971,11.06172,,,,
25.12,0.71599,6.42773,,,,
25.22,0.61231,3.37509,,,,
25.32,0.50852,1.53817,,,,
25.42,0.405,0.58853,,,,
25.52,0.30098,0.2002,,,,
25.62,0.19759,0.08518,,,,
25.72,0.09341,0.05108,,,,
25.811,-0.00048,0.04181,,,,
25.812,-0.00152,0.04171,,,,
25.813,-0.00255,0.04172,,,,
25.913,0.02017,0.05358,,,,
26.013,0.1295,0.09987,,,,
26.113,0.23406,0.22628,,,,
26.213,0.33787,0.64557,,,,
26.313,0.44145,1.64364,,,,
26.413,0.54543,3.59666,,,,
26.513,0.64872,6.70664,,,,
26.613,0.75283,11.12381,,,,
26.704,0.84675,16.18327,,,,
26.779,0.92497,21.19166,,,,
26.847,0.99519,26.26528,,,,
26.888,1.03755,29.57726,,,,
26.889,1.03858,29.65941,,,,
26.89,1.03962,29.74165,,,,
26.99,1.01688,25.98818,,,,
27.037,0.96408,20.95723,,,,
27.098,0.89955,15.89361,,,,
27.176,0.81791,10.86144,,,,
27.276,0.71418,6.28526,,,,
27.376,0.61052,3.28613,,,,
27.476,0.50672,1.4836,,,,
27.576,0.40321,0.56421,,,,
27.676,0.29916,0.20384,,,,
27.776,0.19579,0.08249,,,,
27.876,0.0916,0.05232,,,,
27.965,-0.00021,0.04076,,,,
27.966,-0.00125,0.04063,,,,
27.967,-0.00228,0.04044,,,,
28.067,0.02041,0.0618,,,,
28.167,0.12976,0.09965,,,,
28.267,0.23429,0.22323,,,,
28.367,0.3381,0.62527,,,,
28.467,0.4417,1.5985,,,,
28.567,0.54567,3.53372,,,,
28.667,0.64898,6.62147,,,,
28.767,0.75308,11.00891,,,,
28.858,0.84699,16.0692,,,,
28.934,0.92625,21.13535,,,,
29.001,0.99544,26.14728,,,,
29.042,1.03779,29.44719,,,,
29.043,1.03883,29.52993,,,,
29.044,1.03986,29.61269,,,,
29.144,1.017,25.86492,,,,
29.191,0.96428,20.85445,,,,
29.252,0.89977,15.79379,,,,
29.33,0.81814,10.77642,,,,
29.43,0.7144,6.21883,,,,
29.53,0.61075,3.23559,,,,
29.63,0.50695,1.45375,,,,
29.73,0.40346,0.55627,,,,
29.83,0.2994,0.18964,,,,
29.93,0.19601,0.07961,,,,
30.03,0.09185,0.04954,,,,
30.12,-0.001,0.03487,,,,
30.121,-0.00204,0.03426,,,,
30.122,-0.00308,0.03369,,,,
30.222,0.01954,0.06052,,,,
30.322,0.12895,0.09984,,,,
30.422,0.23349,0.203,,,,
30.522,0.3373,0.59346,,,,
30.622,0.44091,1.56806,,,,
30.722,0.54486,3.4559,,,,
30.822,0.64819,6.5093,,,,
30.922,0.75228,10.8614,,,,
31.013,0.8462,15.90022,,,,
31.089,0.92546,20.94067,,,,
31.156,0.99466,25.95383,,,,
31.197,1.037,29.24459,,,,
31.198,1.03804,29.32681,,,,
31.199,1.03907,29.40908,,,,
31.299,1.01629,25.68859,,,,
31.346,0.96349,20.68145,,,,
31.407,0.89897,15.64732,,,,
31.486,0.81631,10.5956,,,,
31.586,0.71255,6.08527,,,,
31.686,0.60892,3.14607,,,,
31.786,0.5051,1.4024,,,,
31.886,0.40161,0.52787,,,,
31.986,0.29753,0.1774,,,,
32.086,0.19416,0.07773,,,,
32.186,0.09,0.04819,,,,
32.274,-0.00077,0.03966,,,,
32.275,-0.00181,0.03941,,,,
32.276,-0.00285,0.03923,,,,
32.376,0.01978,0.06241,,,,
32.476,0.12917,0.08779,,,,
32.576,0.23371,0.20206,,,,
32.676,0.33751,0.58936,,,,
32.776,0.44113,1.53818,,,,
32.876,0.54507,3.40762,,,,
32.976,0.6484,6.4382,,,,
33.076,0.75249,10.77148,,,,
33.167,0.84641,15.79506,,,,
33.243,0.92566,20.84134,,,,
33.31,0.99486,25.84323,,,,
33.351,1.03722,29.13865,,,,
33.352,1.03825,29.22132,,,,
33.353,1.03929,29.3041,,,,
33.453,1.01638,25.59132,,,,
33.5,0.96367,20.58976,,,,
33.561,0.89917,15.56991,,,,
33.64,0.81652,10.53266,,,,
33.74,0.71277,6.04226,,,,
33.84,0.60913,3.11791,,,,
33.94,0.50531,1.38151,,,,
34.04,0.40183,0.51241,,,,
34.14,0.29773,0.17268,,,,
34.24,0.19435,0.08043,,,,
34.34,0.09021,0.05247,,,,
34.428,-0.00055,0.0443,,,,
34.429,-0.00159,0.04408,,,,
34.43,-0.00262,0.04384,,,,
34.53,0.01999,0.05151,,,,
34.63,0.12939,0.09881,,,,
34.73,0.23391,0.19374,,,,
34.83,0.33771,0.57626,,,,
34.93,0.44134,1.4996,,,,
35.03,0.54527,3.3529,,,,
35.13,0.64862,6.37236,,,,
35.23,0.75271,10.68991,,,,
35.321,0.84662,15.694,,,,
35.397,0.92587,20.74426,,,,
35.464,0.99508,25.74529,,,,
35.505,1.03744,29.04714,,,,
35.506,1.03847,29.12961,,,,
35.507,1.0395,29.21205,,,,
35.607,1.01667,25.50049,,,,
35.655,0.96287,20.41945,,,,
35.716,0.89834,15.4157,,,,
35.795,0.81573,10.41211,,,,
35.895,0.71196,5.94806,,,,
35.995,0.60834,3.0534,,,,
36.095,0.50451,1.34241,,,,
36.195,0.40104,0.49781,,,,
36.295,0.29696,0.16774,,,,
36.395,0.19354,0.07389,,,,
36.495,0.0894,0.05523,,,,
36.582,-0.00032,0.03853,,,,
36.583,-0.00136,0.0385,,,,
36.584,-0.0024,0.0385,,,,
36.684,0.02018,0.05647,,,,
36.784,0.12963,0.08517,,,,
36.884,0.23415,0.19093,,,,
36.984,0.33797,0.56189,,,,
37.084,0.44159,1.48017,,,,
37.184,0.54553,3.31419,,,,
37.284,0.64886,6.31582,,,,
37.384,0.75295,10.6187,,,,
37.475,0.84686,15.63002,,,,
37.551,0.92611,20.65925,,,,
37.619,0.99636,25.72656,,,,
37.659,1.03768,28.95717,,,,
37.66,1.03871,29.03992,,,,
37.661,1.03975,29.12272,,,,
37.761,1.01547,25.28268,,,,
37.81,0.96133,20.19674,,,,
37.872,0.89605,15.16994,,,,
37.953,0.81148,10.12508,,,,
38.053,0.70771,5.75439,,,,
38.153,0.60413,2.93309,,,,
38.253,0.50024,1.27783,,,,
