Strain : Tensile strain (Extension) gauge length,100,mm,,,,
,,,,,,
Time,Extension,Load,,,,
(s),(mm),(N),Low Start,Low End,High Start,High End
33.22,1.1036,38.88351,,,,
33.32,1.1036,38.83826,,,,
33.42,1.1036,38.78996,,,,
33.52,1.10362,38.7582,,,,
33.62,1.10363,38.71676,,,,
33.72,1.10363,38.68449,,,,
33.82,1.10363,38.63078,,,,
33.92,1.10363,38.60944,,,,
34.02,1.10363,38.56028,,,,
34.12,1.10363,38.51999,,,,
34.22,1.10363,38.48738,,,,
34.32,1.10363,38.45676,,,,
34.42,1.10363,38.41613,,,,
34.52,1.10363,38.38134,,,,
34.62,1.10363,38.35681,,,,
34.72,1.10363,38.32236,,,,
34.82,1.10363,38.29202,,,,
34.92,1.10363,38.26479,,,,
35.02,1.10363,38.23632,,,,
35.12,1.10363,38.20254,,,,
35.22,1.10363,38.18091,,,,
35.32,1.10363,38.15047,,,,
35.42,1.10363,38.11288,,,,
35.52,1.10363,38.09752,,,,
35.62,1.10363,38.0711,,,,
35.72,1.10363,38.0465,,,,
35.82,1.10363,38.02592,,,,
35.92,1.10363,37.99738,,,,
36.02,1.10363,37.96338,,,,
36.12,1.10363,37.94923,,,,
36.22,1.10363,37.91906,,,,
36.32,1.10363,37.8991,,,,
36.42,1.10363,37.87799,,,,
36.52,1.10363,37.84539,,,,
36.62,1.10363,37.83131,,,,
36.72,1.10363,37.80981,,,,
36.82,1.10363,37.7928,,,,
36.92,1.10363,37.76591,,,,
37.02,1.10363,37.75543,,,,
37.12,1.10363,37.72537,,,,
37.22,1.10363,37.71471,,,,
37.32,1.10363,37.67833,,,,
37.42,1.10363,37.67104,,,,
37.52,1.10363,37.65251,,,,
37.62,1.10363,37.6285,,,,
37.72,1.10363,37.60711,,,,
37.82,1.10363,37.59842,,,,
37.92,1.10363,37.56527,,,,
38.02,1.10363,37.54947,,,,
38.12,1.10363,37.53931,,,,
38.22,1.10363,37.51662,,,,
38.32,1.10363,37.50602,,,,
38.42,1.10363,37.4786,,,,
38.52,1.10363,37.46597,,,,
38.62,1.10363,37.45621,,,,
38.72,1.10363,37.43421,,,,
38.82,1.10363,37.4227,,,,
38.92,1.10363,37.41028,,,,
39.02,1.10363,37.38688,,,,
39.12,1.10363,37.37789,,,,
39.22,1.10363,37.35276,,,,
39.32,1.10363,37.33172,,,,
39.42,1.10363,37.33303,,,,
39.52,1.10363,37.3051,,,,
39.62,1.10363,37.29765,,,,
39.72,1.10363,37.27581,,,,
39.82,1.10363,37.26592,,,,
39.92,1.10363,37.24804,,,,
40.02,1.10363,37.23846,,,,
40.12,1.10363,37.21191,,,,
40.22,1.10363,37.19991,,,,
40.32,1.10363,37.18192,,,,
40.42,1.10363,37.17258,,,,
40.52,1.10363,37.1551,,,,
40.62,1.10363,37.13611,,,,
40.72,1.10363,37.1339,,,,
40.82,1.10363,37.11925,,,,
40.92,1.10363,37.10204,,,,
41.02,1.10363,37.09062,,,,
41.12,1.10363,37.07405,,,,
41.22,1.10363,37.06363,,,,
41.32,1.10363,37.04923,,,,
41.42,1.10363,37.04302,,,,
41.52,1.10363,37.03251,,,,
41.62,1.10363,37.01274,,,,
41.72,1.10363,37.00091,,,,
41.82,1.10363,36.98029,,,,
41.92,1.10363,36.97648,,,,
42.02,1.10363,36.95919,,,,
42.12,1.10363,36.9534,,,,
42.22,1.10363,36.93756,,,,
42.32,1.10363,36.92684,,,,
42.42,1.10363,36.91107,,,,
42.52,1.10363,36.89775,,,,
42.62,1.10363,36.88643,,,,
42.72,1.10363,36.87109,,,,
42.82,1.10363,36.86626,,,,
42.92,1.10363,36.84591,,,,
43.02,1.10363,36.84018,,,,
43.12,1.10363,36.83307,,,,
43.22,1.10363,36.81284,,,,
43.32,1.10363,36.8021,,,,
43.42,1.10363,36.78542,,,,
43.52,1.10363,36.78183,,,,
43.62,1.10363,36.77036,,,,
43.72,1.10363,36.75931,,,,
43.82,1.10363,36.73746,,,,
43.92,1.10363,36.73547,,,,
44.02,1.10363,36.71387,,,,
44.12,1.10363,36.71329,,,,
44.22,1.10363,36.7003,,,,
