Strain : Tensile strain (Extension) gauge length,100,mm,,,,
,,,,,,
Time,Extension,Load,,,,
(s),(mm),(N),Low Start,Low End,High Start ,High End
3.13,1.10334,36.45304,,,,
3.14,1.10697,36.69756,,,,
3.15,1.11054,36.93773,,,,
3.16,1.11406,37.17411,,,,
3.17,1.11756,37.40696,,,,
3.18,1.12106,37.64159,,,,
3.19,1.1246,37.87377,,,,
3.2,1.12822,38.10996,,,,
3.21,1.13192,38.35793,,,,
3.22,1.13566,38.61206,,,,
3.23,1.13939,38.86495,,,,
3.24,1.14304,39.11335,,,,
3.25,1.14659,39.35092,,,,
3.26,1.15007,39.58156,,,,
3.27,1.1535,39.81379,,,,
3.28,1.15692,40.05082,,,,
3.29,1.16039,40.29265,,,,
3.3,1.16394,40.54438,,,,
3.31,1.16756,40.80472,,,,
3.32,1.17124,41.06717,,,,
3.33,1.17495,41.3263,,,,
3.34,1.17864,41.58025,,,,
3.35,1.18226,41.82988,,,,
3.36,1.18582,42.07847,,,,
3.37,1.18931,42.326,,,,
3.38,1.19277,42.57213,,,,
3.39,1.19623,42.8218,,,,
3.4,1.19974,43.07626,,,,
3.41,1.20333,43.34136,,,,
3.42,1.20696,43.61184,,,,
3.43,1.21061,43.88066,,,,
3.44,1.21425,44.13957,,,,
3.45,1.21786,44.3926,,,,
3.46,1.22145,44.64412,,,,
3.47,1.22499,44.89076,,,,
3.48,1.22849,45.13713,,,,
3.49,1.23198,45.38868,,,,
3.5,1.23548,45.64718,,,,
3.51,1.23905,45.91619,,,,
3.52,1.24266,46.19489,,,,
3.53,1.24631,46.47913,,,,
3.54,1.24997,46.75743,,,,
3.55,1.2536,47.02919,,,,
3.56,1.25721,47.29356,,,,
3.57,1.26077,47.54853,,,,
3.58,1.2643,47.801,,,,
3.59,1.26781,48.05809,,,,
3.6,1.27135,48.32138,,,,
3.61,1.27493,48.5928,,,,
3.62,1.27853,48.87118,,,,
3.63,1.28214,49.15007,,,,
3.64,1.28573,49.42705,,,,
3.65,1.28929,49.70139,,,,
3.66,1.29284,49.96995,,,,
3.67,1.29638,50.23386,,,,
3.68,1.29993,50.50173,,,,
3.69,1.30353,50.7739,,,,
3.7,1.30717,51.05555,,,,
3.71,1.31087,51.34636,,,,
