Strain : Tensile strain (Extension) gauge length,"100.00000",mm

Time,Extension,Load
(s),(mm),(N)
"27.13300","0.00754","0.03755"
"27.13400","0.00718","0.03772"
"27.23400","0.00912","0.05262"
"27.33400","0.04907","0.06483"
"27.43400","0.08573","0.07619"
"27.53400","0.12224","0.10827"
"27.63400","0.15820","0.15051"
"27.73400","0.19402","0.22264"
"27.83400","0.22988","0.32617"
"27.93400","0.26582","0.47515"
"28.03400","0.30211","0.66339"
"28.13400","0.33804","0.90809"
"28.23400","0.37389","1.22722"
"28.33400","0.40989","1.62234"
"28.43400","0.44581","2.11306"
"28.53400","0.48196","2.72354"
"28.63400","0.51774","3.41686"
"28.73400","0.55368","4.24768"
"28.83400","0.58953","5.20098"
"28.93400","0.62553","6.29979"
"29.03400","0.66179","7.55763"
"29.13400","0.69773","8.95774"
"29.23400","0.73358","10.53098"
"29.33400","0.76935","12.29284"
"29.43400","0.80522","14.22677"
"29.53400","0.84135","16.39888"
"29.63400","0.87754","18.76254"
"29.73400","0.91353","21.35320"
"29.83400","0.94933","24.15372"
"29.93400","0.98523","27.18414"
"30.03400","1.02114","30.42603"
"30.13400","1.05733","33.87629"
"30.23400","1.09316","37.46933"
"30.33400","1.12912","41.24418"
"30.43400","1.16506","45.19239"
"30.53400","1.20110","49.29904"
"30.63400","1.23727","53.55735"
"30.71700","1.26677","57.13933"
"30.71800","1.26714","57.18458"
"30.71900","1.26751","57.22984"
"30.81900","1.27973","58.10549"
"30.91900","1.27755","57.35854"
"31.01900","1.27600","56.84581"
"31.11900","1.27527","56.50539"
"31.21900","1.27501","56.25156"
"31.31900","1.27495","56.04367"
"31.41900","1.27491","55.87452"
"31.51900","1.27491","55.72126"
"31.61900","1.27491","55.58297"
"31.71900","1.27491","55.47179"
"31.81900","1.27482","55.34780"
"31.91900","1.27481","55.25079"
"32.01900","1.27481","55.15268"
"32.11900","1.27487","55.06004"
"32.21900","1.27487","54.97966"
"32.31900","1.27488","54.90203"
"32.41900","1.27489","54.82951"
"32.51900","1.27491","54.75118"
"32.61900","1.27491","54.68291"
"32.71900","1.27491","54.62000"
"32.81900","1.27491","54.56075"
"32.91900","1.27491","54.50584"
"33.01900","1.27491","54.44971"
"33.11900","1.27491","54.39108"
"33.21900","1.27491","54.34162"
"33.31900","1.27491","54.29112"
"33.41900","1.27491","54.24020"
"33.51900","1.27491","54.19378"
"33.61900","1.27491","54.15730"
"33.71900","1.27491","54.10671"
"33.81900","1.27491","54.06599"
"33.91900","1.27491","54.01876"
"34.01900","1.27491","53.98170"
"34.11900","1.27491","53.93497"
"34.21900","1.27491","53.90105"
"34.31900","1.27491","53.85864"
"34.41900","1.27491","53.82188"
"34.51900","1.27491","53.78156"
"34.61900","1.27491","53.74980"
"34.71900","1.27491","53.70962"
"34.81900","1.27491","53.68016"
"34.91900","1.27491","53.64660"
"35.01900","1.27491","53.61983"
"35.11900","1.27491","53.58944"
"35.21900","1.27491","53.54904"
"35.31900","1.27491","53.52825"
"35.41900","1.27491","53.49610"
"35.51900","1.27491","53.46786"
"35.61900","1.27491","53.44197"
"35.71900","1.27491","53.40484"
"35.81900","1.27491","53.37695"
"35.91900","1.27491","53.34974"
"36.01900","1.27491","53.32809"
"36.11900","1.27491","53.29657"
"36.21900","1.27491","53.27958"
"36.31900","1.27491","53.25381"
"36.41900","1.27491","53.22680"
"36.51900","1.27491","53.20416"
"36.61900","1.27491","53.17688"
"36.71900","1.27491","53.15046"
"36.81900","1.27491","53.12579"
"36.91900","1.27491","53.10395"
"37.01900","1.27491","53.08075"
"37.11900","1.27491","53.04790"
"37.21900","1.27491","53.03477"
"37.31900","1.27491","53.01664"
"37.41900","1.27491","52.98422"
"37.51900","1.27491","52.96634"
"37.61900","1.27491","52.94668"
"37.71900","1.27491","52.92131"
"37.81900","1.27491","52.89844"
"37.91900","1.27491","52.88045"
"38.01900","1.27491","52.85358"
"38.11900","1.27491","52.84049"
"38.21900","1.27491","52.81546"
"38.31900","1.27491","52.79734"
"38.41900","1.27491","52.77852"
"38.51900","1.27491","52.75843"
"38.61900","1.27491","52.74096"
"38.71900","1.27491","52.71758"
"38.81900","1.27491","52.69950"
"38.91900","1.27491","52.67740"
"39.01900","1.27491","52.65735"
"39.11900","1.27491","52.64776"
"39.21900","1.27491","52.62873"
"39.31900","1.27491","52.60716"
"39.41900","1.27491","52.58587"
"39.51900","1.27491","52.56771"
"39.61900","1.27491","52.55849"
"39.71900","1.27491","52.53432"
"39.81900","1.27491","52.51565"
"39.91900","1.27491","52.50449"
