Strain : Tensile strain (Extension) gauge length,"100.00000",mm

Time,Extension,Load
(s),(mm),(N)
"20.98800","0.45621","3.48282"
"21.08800","0.37091","1.42235"
"21.18800","0.28590","0.47081"
"21.28800","0.20067","0.15787"
"21.38800","0.11548","0.09184"
"21.48800","0.03053","0.06723"
"21.52400","-0.00026","0.06510"
"21.52500","-0.00111","0.06475"
"21.52600","-0.00197","0.06423"
"21.62600","0.01453","0.08013"
"21.72600","0.10525","0.12579"
"21.82600","0.19137","0.33113"
"21.92600","0.27646","1.06464"
"22.02600","0.36158","2.77122"
"22.12600","0.44686","5.82765"
"22.22600","0.53168","10.24404"
"22.31600","0.60871","15.27840"
"22.39600","0.67650","20.33535"
"22.46900","0.73890","25.39918"
"22.53700","0.79688","30.44091"
"22.60200","0.85196","35.42752"
"22.60300","0.85280","35.50610"
"22.60400","0.85365","35.58469"
"22.70400","0.83654","31.93621"
"22.75000","0.79383","26.90712"
"22.80500","0.74538","21.85849"
"22.87000","0.68940","16.79536"
"22.94800","0.62320","11.75738"
"23.04700","0.53857","6.74643"
"23.14700","0.45359","3.34109"
"23.24700","0.36828","1.34525"
"23.34700","0.28330","0.45029"
"23.44700","0.19804","0.16792"
"23.54700","0.11288","0.08823"
"23.64700","0.02789","0.05748"
"23.68000","-0.00035","0.05380"
"23.68100","-0.00120","0.05341"
"23.68200","-0.00206","0.05305"
"23.78200","0.01417","0.08470"
"23.88200","0.10510","0.13111"
"23.98200","0.19123","0.32055"
"24.08200","0.27632","1.02243"
"24.18200","0.36143","2.69997"
"24.28200","0.44672","5.71569"
"24.38200","0.53153","10.11249"
"24.47200","0.60857","15.12435"
"24.55200","0.67635","20.17525"
"24.62500","0.73875","25.22638"
"24.69300","0.79675","30.27062"
"24.75800","0.85181","35.25664"
"24.75900","0.85265","35.33535"
"24.76000","0.85350","35.41409"
"24.86000","0.83638","31.77854"
"24.90600","0.79369","26.75547"
"24.96100","0.74525","21.71635"
"25.02600","0.68929","16.67476"
"25.10400","0.62308","11.65080"
"25.20400","0.53759","6.60966"
"25.30400","0.45263","3.23597"
"25.40400","0.36731","1.28365"
"25.50400","0.28227","0.42372"
"25.60400","0.19708","0.15543"
"25.70400","0.11193","0.08483"
"25.80400","0.02692","0.06070"
"25.83600","-0.00048","0.06050"
